序,代码,名称,最新,涨幅%,最高,最低,实际换手%,所属行业,20日均价,60日均价,市盈率(动),总市值,归属净利润,昨收,开盘,Unnamed: 16
1,"= ""300289""", 利德曼, 8.14, -11.43, 9.35, 8.13, 45.11,  医疗器械, 6.34, 5.51, -884.43, 44.28亿, -125万, 9.19, 8.88,
2,"= ""688108""", 赛诺医疗, 14.19, -2.54, 14.71, 14.10, 4.09,  医疗器械, 12.73, 11.43, 497.06, 59.04亿, 297万, 14.56, 14.70,
3,"= ""301129""", 瑞纳智能, 28.38, 5.19, 28.76, 26.76, 20.62,  仪器仪表, 25.71, 23.96, -45.01, 38.62亿, -2145万, 26.98, 26.88,
4,"= ""300224""", 正海磁材, 15.84, 2.13, 15.90, 15.32, 8.28,  小金属, 15.58, 14.12, 47.74, 132.7亿, 6949万, 15.51, 15.44,
5,"= ""300671""", 富满微, 33.50, 2.54, 33.74, 32.33, 5.65,  半导体, 31.92, 31.66, -72.78, 72.94亿, -2505万, 32.67, 32.56,
6,"= ""300322""", 硕贝德, 21.75, 5.38, 23.51, 20.10, 36.39,  消费电子, 17.32, 15.59, 172.50, 100.2亿, 1453万, 20.64, 20.17,
7,"= ""688110""", 东芯股份, 61.00, 0.21, 63.69, 60.50, 20.15,  半导体, 43.10, 35.28, -113.84, 269.8亿, -5924万, 60.87, 60.86,
8,"= ""300706""", 阿石创, 39.72, 3.28, 41.33, 38.00, 46.99,  半导体, 30.46, 24.78, -410.05, 60.86亿, -371万, 38.46, 38.42,
9,"= ""301117""", 佳缘科技, 35.72, 19.99, 35.72, 29.22, 22.36,  软件开发, 24.36, 21.81, -80.05, 46.14亿, -1441万, 29.77, 29.47,
10,"= ""300981""", 中红医疗, 13.51, -2.60, 13.85, 13.41, 9.66,  医疗器械, 13.04, 12.08, 76.55, 57.94亿, 1892万, 13.87, 13.72,
11,"= ""300225""", *ST金泰, 3.57, -1.92, 3.63, 3.56, 2.74,  化学制品, 3.72, 3.76, 75.33, 16.97亿, 563万, 3.64, 3.63,
12,"= ""870199""", 倍益康, 35.67, -3.67, 36.99, 35.63, 17.76,  医疗器械, 35.89, 33.63, -372.90, 24.29亿, -163万, 37.03, 36.29,
13,"= ""836807""", 奔朗新材, 18.34, 0.60, 18.50, 17.72, 9.59,  非金属材料, 19.03, 15.03, 143.26, 33.36亿, 582万, 18.23, 17.90,
14,"= ""300703""", 创源股份, 24.84, 7.12, 24.92, 23.23, 18.22,  家用轻工, 24.22, 22.27, 54.63, 44.81亿, 2050万, 23.19, 23.50,
15,"= ""688130""", 晶华微, 23.59, 1.42, 23.65, 23.10, 2.84,  半导体, 22.20, 21.06, -70.32, 28.52亿, -1014万, 23.26, 23.29,
16,"= ""301141""", 中科磁业, 64.40, 0.55, 64.55, 62.84, 14.18,  小金属, 67.58, 56.66, 148.60, 79.88亿, 1344万, 64.05, 63.48,
17,"= ""300843""", 胜蓝股份, 32.79, -0.49, 33.03, 32.45, 9.82,  消费电子, 31.48, 29.85, 44.52, 53.68亿, 3014万, 32.95, 33.00,
18,"= ""688551""", 科威尔, 32.06, 0.98, 32.25, 31.60, 2.95,  电源设备, 30.63, 29.34, 33.04, 26.95亿, 2039万, 31.75, 31.77,
19,"= ""688626""", 翔宇医疗, 52.80, -1.18, 53.88, 51.15, 10.73,  医疗器械, 46.17, 41.28, 92.02, 84.48亿, 2295万, 53.43, 53.31,
20,"= ""873693""", 阿为特, 46.80, 4.16, 47.27, 44.56, 17.15,  专用设备, 43.75, 42.71, 176.38, 34.02亿, 482万, 44.93, 44.71,
21,"= ""301678""", 新恒汇, 85.30, -7.09, 92.48, 85.00, 42.89,  半导体, 61.75, 57.72, 99.55, 204.3亿, 5132万, 91.81, 88.88,
22,"= ""300344""", ST立方, 5.54, -2.81, 5.72, 5.51, 10.46,  软件开发, 5.31, 4.58, -51.28, 35.55亿, -1733万, 5.70, 5.67,
23,"= ""301076""", 新瀚新材, 44.58, 20.00, 44.58, 39.52, 29.38,  化学原料, 31.19, 28.97, 120.40, 77.96亿, 1619万, 37.15, 39.52,
24,"= ""831834""", 三维装备, 13.51, 0.37, 13.53, 13.05, 10.13,  塑料制品, 12.93, 12.40, 53.61, 16.21亿, 756万, 13.46, 13.34,
25,"= ""873726""", 卓兆点胶, 29.85, 2.30, 29.92, 29.08, 10.53,  专用设备, 29.01, 29.59, 131.80, 24.50亿, 465万, 29.18, 29.18,
26,"= ""002377""", 国创高新, 3.06, -0.33, 3.08, 3.04, 3.23,  化学制品, 3.20, 3.03, 320.31, 28.04亿, 219万, 3.07, 3.08,
27,"= ""601718""", 际华集团, 4.36, 0.69, 4.45, 4.28, 10.88,  纺织服装, 4.07, 3.42, 647.22, 191.5亿, 740万, 4.33, 4.28,
28,"= ""000536""", 华映科技, 4.76, -1.24, 4.81, 4.69, 8.09,  光学光电子, 4.48, 4.43, -14.13, 131.7亿, -2.33亿, 4.82, 4.80,
29,"= ""300368""", 汇金股份, 12.60, 5.44, 12.73, 11.72, 29.02,  计算机设备, 10.82, 10.13, -118.55, 66.65亿, -1405万, 11.95, 11.94,
30,"= ""873305""", 九菱科技, 63.64, -2.47, 64.99, 63.35, 11.19,  通用设备, 69.26, 61.95, 164.53, 41.28亿, 627万, 65.25, 64.70,
31,"= ""603518""", 锦泓集团, 9.85, 0.20, 9.87, 9.77, 4.50,  纺织服装, 9.74, 10.00, 9.58, 34.10亿, 8901万, 9.83, 9.85,
32,"= ""002354""", 天娱数科, 6.77, 1.96, 6.78, 6.62, 6.52,  互联网服务, 6.68, 6.52, 534.25, 112.0亿, 524万, 6.64, 6.66,
